role,name,title,company,description,field,interest_area
seller,John Doe,Sales Manager,TechCorp,TechCorp is a technology solutions provider,Technology,AI and Machine Learning
buyer,Jane Smith,Procurement Officer,HealthPlus,HealthPlus is a healthcare services company,Healthcare,Medical Devices
seller,Alice Brown,Account Executive,InnovateX,InnovateX specializes in innovative software solutions,Software,Cloud Computing
buyer,Bob White,Head of Procurement,MediCare,MediCare offers comprehensive healthcare services,Healthcare,Telemedicine
seller,Charlie Green,Sales Director,SmartTech,SmartTech provides smart home devices,Smart Home,Home Automation
buyer,Eve Black,Supply Chain Manager,FitnessPlus,FitnessPlus is a chain of fitness centers,Fitness,Wearable Technology
seller,Dave Clark,Business Development Manager,NetSolutions,NetSolutions offers networking solutions,Networking,IoT
buyer,Fay Blue,Procurement Specialist,HealthGuard,HealthGuard provides health insurance services,Insurance,Health Insurance
seller,Grace Harris,Sales Consultant,DataWave,DataWave offers data analytics solutions,Data Analytics,Big Data
buyer,Hank Yellow,Procurement Coordinator,WellnessWorks,WellnessWorks provides wellness programs,Wellness,Corporate Wellness
seller,Ivy Adams,Senior Sales Representative,CloudNet,CloudNet offers cloud computing services,Cloud Computing,SaaS
buyer,Jack Orange,Procurement Manager,LifeCare,LifeCare provides home healthcare services,Home Healthcare,Remote Patient Monitoring
seller,Karen White,Account Manager,TechVerse,TechVerse specializes in virtual reality solutions,Virtual Reality,VR for Training
buyer,Leo Red,Senior Buyer,HealthCorp,HealthCorp provides healthcare management services,Healthcare,Healthcare IT
seller,Mike Black,Regional Sales Manager,InnovateTech,InnovateTech offers advanced tech solutions,Technology,Blockchain
buyer,Nina Green,Head of Procurement,FitLife,FitLife provides fitness equipment and services,Fitness,Fitness Apps
seller,Oscar Brown,National Sales Manager,SoftWave,SoftWave develops software solutions for businesses,Software,Enterprise Software
buyer,Paul White,Procurement Analyst,HealthPlus,HealthPlus offers health insurance and services,Healthcare,Health Data Analytics
seller,Quinn Red,Inside Sales Representative,NextGenTech,NextGenTech specializes in next-gen technology,Technology,5G Technology
buyer,Rita Yellow,Lead Buyer,WellnessHealth,WellnessHealth provides health and wellness solutions,Wellness,Mindfulness
seller,Sam Green,Sales Executive,DataNet,DataNet provides data networking solutions,Networking,Network Security
buyer,Tina Blue,Procurement Officer,HealthFirst,HealthFirst offers healthcare services and solutions,Healthcare,Primary Care Solutions
seller,Uma White,Corporate Sales Manager,InnovativeCorp,InnovativeCorp offers innovative business solutions,Business Solutions,Business Intelligence
buyer,Victor Red,Procurement Lead,FitPro,FitPro offers professional fitness services,Fitness,Sports Technology
seller,Wendy Brown,Field Sales Manager,SmartSolutions,SmartSolutions provides smart technology solutions,Smart Technology,Smart Cities
buyer,Xander Yellow,Chief Procurement Officer,HealthInnovate,HealthInnovate offers innovative health services,Healthcare,Health Startups
seller,Yara Green,Sales Associate,TechWave,TechWave specializes in wave technology solutions,Wave Technology,Wave Energy
buyer,Zack Blue,Senior Procurement Specialist,WellnessSolutions,WellnessSolutions offers comprehensive wellness services,Wellness,Employee Wellness
seller,Aaron Black,Sales Lead,CloudTech,CloudTech offers cloud-based technology solutions,Cloud Technology,Cloud Security
buyer,Beth Red,Procurement Executive,FitWell,FitWell offers fitness and wellness services,Fitness,Fitness Nutrition
